"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","The Big Con: what is really at stake in this US election https://t.co/xNAgo0tU3C",FALSE,0,NA,2016-11-07 07:50:25,FALSE,NA,"795533851997143040",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Kleeblatt1977",0,FALSE,FALSE,NA,NA,"Fürth, Bayern","de","http://pbs.twimg.com/profile_images/2888935372/1c9d8c70fd4a8363d9bf0905c4efd560_normal.jpeg"
"2","RT @trumpresdent: SKUNK PAUL RYAN Announces He Is Ready to Campaign with Trump… 48 Hours Before Election https://t.co/NpKlyvtliF https://t.…",FALSE,0,NA,2016-11-07 07:50:24,FALSE,NA,"795533850784825344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","islam_nabarul",1,TRUE,FALSE,NA,NA,"Gazipur. Dhaka.","en","http://pbs.twimg.com/profile_images/777404868763918337/GKSLMJHx_normal.jpg"
"3","RT @socialmedia2day: Election 2016: The Battle for Social Media Influence [Infographic] (by @thelylestevens) https://t.co/EQ5vZN0T6R #socia…",FALSE,0,NA,2016-11-07 07:50:24,FALSE,NA,"795533849820360704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HowardStrauber",12,TRUE,FALSE,NA,NA,"Stamford, CT","en","http://pbs.twimg.com/profile_images/516554095834845185/wUFTpK8s_normal.jpeg"
"4","Nicaraguan Officials Say President Wins 3rd Consecutive Term https://t.co/EPJjP6DS0r",FALSE,0,NA,2016-11-07 07:50:23,FALSE,NA,"795533845160456192",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","alwynsblogspot",0,FALSE,FALSE,NA,NA,"London England","en","http://pbs.twimg.com/profile_images/378800000025640957/86a8fc49f9fa3c3b22b518bda06c10fc_normal.jpeg"
"5","RT @nytimes: Nicaraguan Officials Say President Wins 3rd Consecutive Term https://t.co/dJfUUWqsfR",FALSE,0,NA,2016-11-07 07:50:22,FALSE,NA,"795533841427533825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DerbyPA",22,TRUE,FALSE,NA,NA,"Derby / Derbyshire / UK","en","http://pbs.twimg.com/profile_images/378800000444649964/17d3646fe11feec8fe1edb73d963e5c0_normal.jpeg"
"6","Trump Doubts Thoroughness of Clinton Email Review
https://t.co/3xrk7vTuzc",FALSE,0,NA,2016-11-07 07:50:22,FALSE,NA,"795533840223797249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoriLynneRoss",0,FALSE,FALSE,NA,NA,"Lower Bucks,PA","en","http://pbs.twimg.com/profile_images/790042658764910593/xETFXEVi_normal.jpg"
"7","Global markets react as FBI clears Clinton over emails, boosting chances of victory  https://t.co/crziB6MYgT via https://t.co/99WwNevpBf",FALSE,0,NA,2016-11-07 07:50:21,FALSE,NA,"795533837652656128",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","_NoMoreExcuses",0,FALSE,FALSE,NA,NA,"ENGLAND","en","http://pbs.twimg.com/profile_images/550430661769560064/7-of5mYK_normal.png"
"8","RT @libertyspot: BREAKING: Florida Election Employees Caught Faking 1,000's of Stolen Absentee Ballots in Massive Voter Fraud Scheme! https…",FALSE,0,NA,2016-11-07 07:50:21,FALSE,NA,"795533836713132032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bethlhoskins",34,TRUE,FALSE,NA,NA,"bestcityintheworld","en","http://pbs.twimg.com/profile_images/779489257027231744/aISmrRkV_normal.jpg"
"9","RT @CNN: Here’s everything non-Americans should know about the US election. (Handy for US citizens too) https://t.co/QXVYtocPeO https://t.c…",FALSE,0,NA,2016-11-07 07:50:21,FALSE,NA,"795533835286872064",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","ranjanra",34,TRUE,FALSE,NA,NA,"New delhi","en","http://pbs.twimg.com/profile_images/789178544005914624/xaNlWX4b_normal.jpg"
"10","nytimes: Nicaraguan Officials Say President Wins 3rd Consecutive Term https://t.co/tUWH6wjM60 November 07, 2016 at 05:43AM November 07, 20…",FALSE,0,NA,2016-11-07 07:50:21,FALSE,NA,"795533834628595712",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","lo__om",0,FALSE,FALSE,NA,NA,"","pt","http://abs.twimg.com/sticky/default_profile_images/default_profile_4_normal.png"
