"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","Electoral College voter says he will not vote for Hillary Clinton even if she wins his state https://t.co/qxFsAgtadi via @HuffPostPol",FALSE,0,NA,2016-11-05 14:59:03,FALSE,NA,"794916944507904000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mblanos",0,FALSE,FALSE,NA,NA,"San Francisco, CA","en","http://pbs.twimg.com/profile_images/661084896643846144/bYerEOjG_normal.jpg"
"2","RT @TwitchyTeam: BAM-tastic: People can't stop laughing at this Tweet of the Election (Hillary Clinton will cry) https://t.co/seUKTZOnF8",FALSE,0,NA,2016-11-05 14:59:03,FALSE,NA,"794916944486993920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marieatackett",75,TRUE,FALSE,NA,NA,"Kentucky, USA","en","http://pbs.twimg.com/profile_images/788065455823056900/QHcZQ096_normal.jpg"
"3","RT @ieEntertainment: .@BeingSalmanKhan just told us whom he supports in the #USpresidentialelections, see pic
https://t.co/c8Na2ZN0Ng https…",FALSE,0,NA,2016-11-05 14:59:03,FALSE,NA,"794916944235401221",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shahidmaroof",28,TRUE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/667759068904222720/Tee8DObC_normal.jpg"
"4","RT @kurteichenwald: Trump campaign still hasn't explained why it secretly pushed info from Russia propaganda site Sputnik to reporters. htt…",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916943878705153",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lsnow89",1603,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/501018556058697730/OGq-58vs_normal.jpeg"
"5","BREAKING: Hillary Clinton Just Got Busted Rigging Election! See Her Evil Plan For Florida! https://t.co/MbT6yHMHIA",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916943316811777",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","wdj3368",0,FALSE,FALSE,NA,NA,"kalamazoo   MI.","en","http://pbs.twimg.com/profile_images/506827569337884672/FPyLogZ5_normal.png"
"6","RT @Channel4News: ""Don't boo, vote!"" This is how Obama dealt with a pro-Trump protester who tried to disrupt his speech in support of Hilla…",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916942910017537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_DANdicial",9253,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/793655040179396608/WaFxhUKF_normal.jpg"
"7","RT @Channel4News: ""Don't boo, vote!"" This is how Obama dealt with a pro-Trump protester who tried to disrupt his speech in support of Hilla…",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916942314348544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceceliamosley20",9253,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/791803470743474176/zE23q0yq_normal.jpg"
"8","RT @trillac_: Hillary Clinton using black stars as props to get elected makes me cringe.",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916942310084612",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bigsexydraws",43,TRUE,FALSE,NA,NA," Los Angeles ","en","http://pbs.twimg.com/profile_images/791167977240485888/v-nWaGk3_normal.jpg"
"9","RT @KellyannePolls: ""because our children are listening"" right Hillary?Jay Z drops the n-word, f-bomb during concert for Hillary Clinton ht…",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916942230523904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Real_AllenR",213,TRUE,FALSE,NA,NA,"Raleigh, NC","en","http://pbs.twimg.com/profile_images/794255960311267337/i24dnpV0_normal.jpg"
"10","Hillary Clinton -- Win or Lose ... She's Hosting Big (PHOTO GALLERY) https://t.co/1CeZwkOklH via @TMZ THINK THE FEDS ARE WIRING UP NOW",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916941601312768",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","Blackboxtrends",0,FALSE,FALSE,NA,NA,"Cork, Ireland","en","http://pbs.twimg.com/profile_images/785822572114022400/lj-wIdST_normal.jpg"
"11","RT @Channel4News: ""Don't boo, vote!"" This is how Obama dealt with a pro-Trump protester who tried to disrupt his speech in support of Hilla…",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916941366435840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JTKFilms",9253,TRUE,FALSE,NA,NA,"Warren, OH","en","http://pbs.twimg.com/profile_images/791059570496004096/b53cK28L_normal.jpg"
"12","RT @KellyannePolls: ""because our children are listening"" right Hillary?Jay Z drops the n-word, f-bomb during concert for Hillary Clinton ht…",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916940942888960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MadeleineHamon",213,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/789953313240453120/9dAY-2Gv_normal.jpg"
"13","RT @wikileaks: Password cracked for Obama cabinet vetting list: 'change'.  See attachment tab on https://t.co/TxXE37mF2d

Context: https://…",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916940884148224",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","davis_levin",5356,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/2787390677/42c7189ca4c1a822185ccf61448e7541_normal.jpeg"
"14","RT @Reuters: The Clinton Foundation confirmed it accepted a gift from Qatar while Hillary Clinton was secretary of state. https://t.co/6umT…",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916940393443328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","masoodfarivar",309,TRUE,FALSE,NA,NA,"Washington, D.C.","en","http://pbs.twimg.com/profile_images/729005921746046976/MN1kqIfb_normal.jpg"
"15","RT @Stallone: I am petrified to think of Hillary Clinton running our country. She is so one trustworthy a liar and totally unacceptable.",FALSE,0,NA,2016-11-05 14:59:02,FALSE,NA,"794916940212903936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sunnykcollins",13,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/611263729544511490/VTOt5luu_normal.jpg"
"16","RT @KellyannePolls: ""because our children are listening"" right Hillary?Jay Z drops the n-word, f-bomb during concert for Hillary Clinton ht…",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916939101601792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patvgarst",213,TRUE,FALSE,NA,NA,"Orange Park, Florida","en","http://pbs.twimg.com/profile_images/791073103526756353/OXLPkcUE_normal.jpg"
"17","RT @NeilTurner_: VOTER FRAUD HAPPENING NOW IN FLORIDA! 10,000s illegal Hillary Clinton Votes Counted in Robert County! https://t.co/cAClBu7…",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916938640146432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lala3240",33,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/788492300842250240/Vnc09AOB_normal.jpg"
"18","RT @Reuters: The Clinton Foundation confirmed it accepted a gift from Qatar while Hillary Clinton was secretary of state. https://t.co/6umT…",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916938308878336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kentwilliam94",309,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/714539782739726336/rjMnQA3j_normal.jpg"
"19","RT @KellyannePolls: ""because our children are listening"" right Hillary?Jay Z drops the n-word, f-bomb during concert for Hillary Clinton ht…",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916937830694912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CondemnationInc",213,TRUE,FALSE,NA,NA,"Florida","en","http://pbs.twimg.com/profile_images/525113024990826500/f5LXKWY9_normal.jpeg"
"20","RT @CNN: Beyonce: I want my daughter to see a woman lead the country https://t.co/hFL5AvZ0Cx https://t.co/rJYLdQLTQR",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916937218269184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoriSums",3944,TRUE,FALSE,NA,NA,"Texas, USA","en","http://pbs.twimg.com/profile_images/730080781121531904/IRtAj-eH_normal.jpg"
"21","RT @TwitchyTeam: BAM-tastic: People can't stop laughing at this Tweet of the Election (Hillary Clinton will cry) https://t.co/seUKTZOnF8",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916937151213572",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ronnie60796238",75,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/764588920759812097/uQDhtm4X_normal.jpg"
"22","What She Means to Me: On Hillary Rodham Clinton's Candidacy https://t.co/4tanmJKBFY via @womenareboring",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916937084129280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AntheaLacchia",0,FALSE,FALSE,NA,NA,"Dublin, Ireland","en","http://pbs.twimg.com/profile_images/780373986257489920/7eGtMNKP_normal.jpg"
"23","RT @CNN: Beyonce: I want my daughter to see a woman lead the country https://t.co/hFL5AvZ0Cx https://t.co/rJYLdQLTQR",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916937008553984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliAlialwani05",3944,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png"
"24","Roger Stone: Hillary Clinton To Lose Election, May Stage False Flag  - amazing revelations https://t.co/3g36RbB38O",FALSE,0,NA,2016-11-05 14:59:01,FALSE,NA,"794916936731791360",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lancerschmidt",0,FALSE,FALSE,NA,NA,"Pace (Milton), Florida","en","http://pbs.twimg.com/profile_images/621877675267911680/GeFuwiAX_normal.jpg"
"25","Hillary Clinton – Mrs. Strangelove? https://t.co/WFY3YundFN",FALSE,0,NA,2016-11-05 14:59:00,FALSE,NA,"794916935645282304",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","jmgoig_en",0,FALSE,FALSE,NA,NA,"Sant Boi de Ll., Barcelona","en","http://pbs.twimg.com/profile_images/513753978505805824/Z92gzWB6_normal.jpeg"
"26","RT @Channel4News: Leader of Russia’s far right Liberal Democrat Party, Vladimir Zhirinovsky, gives his view on Donald Trump &amp; “weak, viciou…",FALSE,0,NA,2016-11-05 14:59:00,FALSE,NA,"794916935498600452",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","khaled_sxs",235,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/786971616332828672/n6hPtALk_normal.jpg"
"27","RT @CNN: Beyonce: I want my daughter to see a woman lead the country https://t.co/hFL5AvZ0Cx https://t.co/rJYLdQLTQR",FALSE,0,NA,2016-11-05 14:59:00,FALSE,NA,"794916935133790208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LipstickVision",3944,TRUE,FALSE,NA,NA,"ice bear says no","en","http://pbs.twimg.com/profile_images/793153582686171137/szCjQ272_normal.jpg"
"28","RT @KellyannePolls: ""because our children are listening"" right Hillary?Jay Z drops the n-word, f-bomb during concert for Hillary Clinton ht…",FALSE,0,NA,2016-11-05 14:59:00,FALSE,NA,"794916935125319681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PR_Evans_351",213,TRUE,FALSE,NA,NA,"Reading, PA","en","http://pbs.twimg.com/profile_images/793202008127774720/hNqyMn7T_normal.jpg"
