"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @Tanya_USA: Watch Live: Donald Trump in Springfield, OH https://t.co/A8kX4DGNkr https://t.co/x7yWC47Sd0",FALSE,0,NA,2016-10-31 14:21:18,FALSE,NA,"793095508617142272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lalalod",5,TRUE,FALSE,NA,NA,"Port St Joe, FL","en","http://pbs.twimg.com/profile_images/767515434232979456/lP6iLDfW_normal.jpg"
"2","RT @France4Hillary: BREAKING: The FBI is sitting on explosive information regarding Donald Trump and Russia. COMEY NEEDS TO MAKE IT PUBLIC!…",FALSE,0,NA,2016-10-31 14:21:18,FALSE,NA,"793095507916754944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CKlein5852",283,TRUE,FALSE,NA,NA,"Arlington, VA","en","http://pbs.twimg.com/profile_images/773924067984478208/bYUhFYFz_normal.jpg"
"3","RT @jimpoco: BREAKING: For decades, Trump's companies have destroyed emails, defying court orders https://t.co/qoBCM8MMzB https://t.co/9cIR…",FALSE,0,NA,2016-10-31 14:21:18,FALSE,NA,"793095506767601664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eschapasse",122,TRUE,FALSE,NA,NA,"Paris","fr","http://pbs.twimg.com/profile_images/575294591504547840/5nKyc3fi_normal.jpeg"
"4","RT @SFL4Hillary: #NewsOneNow Trump and his traitors. The FBI is sitting on 'explosive' information about Donald Trump and Russia https://t.…",FALSE,0,NA,2016-10-31 14:21:18,FALSE,NA,"793095506704621568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","truth4me_2",31,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/792800623838257160/rL85SAp9_normal.jpg"
"5","Donald J. Trump's concession speech, imagined https://t.co/aEtD5VhbGb",FALSE,0,NA,2016-10-31 14:21:18,FALSE,NA,"793095506280845312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","swain241",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/762366095323828224/fPvhIHHQ_normal.jpg"
"6","Back when Donald Trump liked the idea of Obamacare https://t.co/7zJvf3maPI",FALSE,0,NA,2016-10-31 14:21:18,FALSE,NA,"793095505479892992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thatdanagame",0,FALSE,FALSE,NA,NA,"NYC/CT","en","http://pbs.twimg.com/profile_images/562814459660341248/YlBH5Ue__normal.jpeg"
"7","Donald Trump warns that 650 million immigrants could come to the US in a week. Let's do the math! - Washington Post https://t.co/fxyXe2u1XS",FALSE,0,NA,2016-10-31 14:21:18,FALSE,NA,"793095505320505344",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","NewsNeedNow",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/535011376423399424/Nnx30hj__normal.png"
"8","RT @ABCPolitics: Hillary Clinton leads Donald Trump by one point in today's @ABC News/WaPo tracking poll https://t.co/UJv6kMbVwg https://t.…",FALSE,0,NA,2016-10-31 14:21:17,FALSE,NA,"793095502002728960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samiajose",150,TRUE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/771660210733670402/sZ02hc_N_normal.jpg"
"9","RT @kurteichenwald: I promise, my story that Trump and his cos destroyed emails &amp; documents sought by court order was written be4 Comey. ht…",FALSE,0,NA,2016-10-31 14:21:17,FALSE,NA,"793095501193289728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","denisegoldie",328,TRUE,FALSE,NA,NA,"South Carolina, USA","en","http://pbs.twimg.com/profile_images/768565999675203584/yU4W10Sd_normal.jpg"
"10","RT @arizona260: BREAKING VIDEO : ICE Officials Just Revealed to Donald Trump that Obama is Allowing Illegals to Vote https://t.co/gZiYNKxI1B",FALSE,0,NA,2016-10-31 14:21:17,FALSE,NA,"793095501126049792",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AWorlow",1,TRUE,FALSE,NA,NA,"America","en","http://pbs.twimg.com/profile_images/769916152411631616/UHa0_svg_normal.jpg"
"11","RT @kurteichenwald: Under oath, Trump guy denied existence of server when emails sought by court ordr. It existed; they destroyed emails ht…",FALSE,0,NA,2016-10-31 14:21:16,FALSE,NA,"793095500392177664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VoteCthulhu2016",421,TRUE,FALSE,NA,NA,"R'lyeh","en","http://pbs.twimg.com/profile_images/695084955454545921/-U-eb0n8_normal.jpg"
"12","RT @kurteichenwald: Read my latest story in @Newsweek: For decades, Trump has destroyed documents and emails sought under court order. http…",FALSE,0,NA,2016-10-31 14:21:16,FALSE,NA,"793095500178268160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JSwit_",474,TRUE,FALSE,NA,NA,"Chestertown, MD","en","http://pbs.twimg.com/profile_images/751458218203832321/XW_LWEKv_normal.jpg"
